J.W. von Goethe
Fyodor Dostoyevsky

Marcel Proust

Abbott, Eleanor Hallowell
Norton, Caroline

O'Brien, Fitz-James

O'Connor, Flannery

O'Flaherty, Liam

O'Keefe, James

O'Neill, Eugene

Orwell, George

Ovid, Publius

Owen, Wilfred

Page, Thomas Nelson

Paine, Thomas

Parker, Dorothy

Paterson, Banjo

Peattie, Elia W.

Pepys, Samuel

Perrault, Charles

Phelps, Elizabeth

Pierson, Clara

Plato,

Poe, Edgar Allan

Polidori, John

Pope, Alexander

Porter, Katherine

Post, Melville Davisson

Potter, Beatrix

Pound, Ezra

Prevost, Marcel

Pushkin, Alexsander

Pyle, Howard

Quiller-Couch, Arthur

Rand, Ayn

Richards, Laura E.

Rickford, Katherine

Riley, James

Rinehart, Mary Roberts

Roe, Edward Payson

Root, George

Rosenberg, Isaac

Rowling, J.K.

Russell, Bertrand

Saha, Arnaba

Salinger, J.D.

Sandburg, Carl

Sayers, Dorothy

Scott, Walter

Semyonov, S.T.

Sewell, Anna

Shakespeare, William

Shaw, Bernard

Shelley, Mary

Shelley, Percy Bysshe

Sherman, Harold

Shiel, Matthew Phipps

Shorter, Dora

Sinclair, Upton

Smith, Adam

Smith, Samuel

Smith, Clark

Sophocles,

Sousa, John

Spofford, Harriet

Spyri, Johanna

Steele, Wilbur Daniel

Stein, Gertrude

Steinbeck, John

Stephenson, Carl

Stevenson, Robert Louis

Stine, Robert

Stockton, Frank

Stoker, Bram

Stowe, Harriet Beecher

Strachey, Lytton

Stratemeyer, Edward

Stuart, Jesse

Stuart, Ruth

St. Vincent Millay, Edna

Sweetser, Kate Dickinson

Swift, Jonathan

Syrett, Netta

Tagore, Rabindranath

Tarbell, Ida

Tarkington, Newton Booth

Teasdale, Sara

Tennyson, Alfred

Thackeray, William Makepeace

Thayer, Ernest Lawrence

Thomas, Dylan

Thoreau, Henry David

Tocqueville, Alexis

Tolkien, John Ronald Reuel

Tolstoy, Alexei

Tolstoy, Leo

Travers, Pamela

Trollope, Anthony

Tupper, Tristram

Turgenev, Ivan S.

Turner, Ethel

Twain, Mark

Tzu, Sun

van Dyke, Henry

Verne, Jules

Voltaire,

Vonnegut, Kurt

Wallace, Edgar

Walpole, Horace

Washington, Booker T.

Weaver, Louise Bennett

Wells, H.G.

Wells, Ida

Wharton, Edith

Wharton, Anne Hollingsworth

Wheatley, Phillis

White, Stewart Edward

White, E.B.

Whitman, Walt

Whittier, John

Widdemer, Margaret

Wiggin, Kate Douglas

Wilcox, Ella

Wilde, Oscar

Williams, Margery

Williams, William Carlos

Wodehouse, P. G.

Wolff, Tobias

Wollstonecraft, Mary

Woolf, Virginia

Wordsworth, William

Wynne, Madeline

Wyss, Johann David

Yeats, William Butler

Yezierska, Anzia

Yonge, Charlotte M.

Zola, Emile
